,Fiscal Year Period,Fiscal Year,Service,Department,Program,Fund,Category,Expense Category,Account Code,Invoice Description,Vendor,Vendor Number,Zip,Contract Number,PO Number,PO Line,Invoice Number,Invoice Line,Invoice Distribution Line,Amount,Invoice Date,Payment Method,Payment Date,Payment Number,Payment Status
0,5,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,634275,1.0,1,66506.86,11/18/19,EFT,12/13/19,581234,RECONCILED
1,6,2016,Transportation,General Services,Administrative Services,Motor Pool,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,5431471,1.0,1,61549.93,12/7/15,EFT,12/28/15,428538,RECONCILED
2,1,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,62514,1.0,1,754842.0,6/25/14,WIRE,7/1/14,1004027,RECONCILED
3,4,2015,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102114A,1.0,1,15076085.0,10/21/14,WIRE,11/3/14,1004394,RECONCILED
4,4,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,569408,1.0,1,583344.95,9/16/19,EFT,10/9/19,574406,RECONCILED
5,6,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,5784122,1.0,1,276261.67,11/30/16,EFT,12/28/16,460275,RECONCILED
6,6,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,121913A,1.0,1,23970.0,12/19/13,WIRE,1/1/14,1003515,RECONCILED
7,3,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,US BANK,10742,10005,,,,315405,1.0,1,3500000.0,9/7/16,WIRE,9/30/16,1006362,RECONCILED
8,5,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,112619A,4.0,1,9544097.0,11/26/19,WIRE,12/2/19,1102591,RECONCILED
9,1,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,JP MORGAN CHASE EQUIPMENT FINANCE,34503,43240,,,,1000141527S20180729,1.0,1,1565377.33,6/29/18,WIRE,7/30/18,1101607,RECONCILED
10,4,2020,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,PNC BANK NA,34670,44193,,,,569406,1.0,1,1047626.5,9/16/19,EFT,10/9/19,574406,RECONCILED
11,1,2019,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,BANK OF AMERICA,24300,30384-0918,,,,R39485,1.0,1,198648.41,6/20/18,WIRE,7/2/18,1101527,RECONCILED
12,3,2016,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80108,Lease Principal Payment,JP MORGAN CHASE EQUIPMENT FINANCE,34503,43240,,,,1000135456S20150930,1.0,1,927725.5,8/31/15,WIRE,9/30/15,1005344,RECONCILED
13,6,2014,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,121913A,1.0,1,90333.62,12/19/13,WIRE,1/1/14,1003515,RECONCILED
14,4,2017,Debt Service,Debt Service,Debt Service,Debt Service,Operating Expenses,Debt Service - Principal Payment,80100,General Obligation Bond - Principal Payment,THE DEPOSITORY TRUST & CLEARING CORPORATION,9687,10041,,,,102016,1.0,1,7356553.0,10/20/16,WIRE,11/1/16,1006452,RECONCILED
